#,"OLT ID","Serial Number","OLT name","OLT IP/FQDN","Connection protocol",Port,Uptime,"Env Temperature C","Added date","Subscription active","Subscription end date",Slot,"Board type","Nr Ports","Software version",Status
1,3,020ANHT0JB005562,"ULA-SANTA _M-001",45.176.204.17,Telnet,2333,"7 days, 15:43",36,"2021-05-25 16:58:28",Yes,2026-03-24,,,,,
-,,022MLMDMHC605805,,,,,,,,,,1,H805GPFD,16,,Normal
-,,022MLMCNG5007105,,,,,,,,,,2,H805GPFD,16,,Normal
-,,022MLMDMHA609168,,,,,,,,,,3,H805GPFD,16,,Normal
-,,022MLMDMG7602655,,,,,,,,,,4,H805GPFD,16,,Normal
-,,022MLMDMJ4604128,,,,,,,,,,5,H805GPFD,16,,Normal
-,,022MLMDMHA602845,,,,,,,,,,6,H805GPFD,16,,Normal
-,,021VDE10JA001845,,,,,,,,,,7,H802SCUN,4,MA5600V800R018C00,Normal
-,,021VDE10JA001838,,,,,,,,,,8,H802SCUN,4,MA5600V800R018C00,Normal
-,,022MLMDMH8604990,,,,,,,,,,9,H805GPFD,16,,Normal
-,,025KFD10K8009723,,,,,,,,,,10,H806GPFD,16,,Normal
-,,022MLMCNG3007086,,,,,,,,,,11,H805GPFD,16,,Normal
-,,022MLMDMGA601355,,,,,,,,,,12,H805GPFD,16,,Normal
-,,022MLMCNJ1001313,,,,,,,,,,13,H805GPFD,16,,Normal
-,,022MLMDMJ5602480,,,,,,,,,,14,H805GPFD,16,,Normal
-,,022MLMCNF1016544,,,,,,,,,,15,H805GPFD,16,,Normal
-,,022MLMCNF8003880,,,,,,,,,,16,H805GPFD,16,,Normal
-,,024GDXD0JA006392,,,,,,,,,,17,H802X2CS,2,,Normal
-,,024GDXD0JA000317,,,,,,,,,,18,H802X2CS,2,,Normal
2,4,020ANHT0JB005613,"ULA-SANTA _M-002",45.176.204.17,Telnet,3333,"15 days, 15:18",39,"2021-07-15 22:40:01",Yes,2026-03-24,,,,,
-,,022MLMDMH3602224,,,,,,,,,,1,H805GPFD,16,,Normal
-,,022MLMDMJ7602219,,,,,,,,,,2,H805GPFD,16,,Normal
-,,022MLMDMJ7608172,,,,,,,,,,3,H805GPFD,16,,Normal
-,,022MLMDMK1603675,,,,,,,,,,4,H805GPFD,16,,Normal
-,,022MLMCNEC002478,,,,,,,,,,5,H805GPFD,16,,Normal
-,,022MLMDMJ5604356,,,,,,,,,,6,H805GPFD,16,,Normal
-,,021VDE10JA001941,,,,,,,,,,7,H802SCUN,4,MA5600V800R018C00,Normal
-,,021VDE10JA002568,,,,,,,,,,8,H802SCUN,4,MA5600V800R018C00,Normal
-,,022MLMDMH6609971,,,,,,,,,,9,H805GPFD,16,,Normal
-,,022MLMDMH4604419,,,,,,,,,,10,H805GPFD,16,,Normal
-,,022MLMDMHA611993,,,,,,,,,,11,H805GPFD,16,,Normal
-,,022MLMDMJ6602692,,,,,,,,,,12,H805GPFD,16,,Normal
-,,022MLMCNJ9002989,,,,,,,,,,13,H805GPFD,16,,Normal
-,,022MLMDMG7604250,,,,,,,,,,14,H805GPFD,16,,Normal
-,,022MLMCNFC012682,,,,,,,,,,15,H805GPFD,16,,Normal
-,,022MLMDMG9600493,,,,,,,,,,16,H805GPFD,16,,Normal
-,,020KKPCNG5011297,,,,,,,,,,17,H801X2CS,2,,Normal
-,,020KKPCNG5009906,,,,,,,,,,18,H801X2CS,2,,Normal
3,5,020ANHT0J4018628,"ULA-SANTA _M-003",45.176.204.17,Telnet,4333,"14 days, 15:39",31,"2021-10-30 08:39:24",Yes,2026-03-24,,,,,
-,,022MLMDMJB605017,,,,,,,,,,1,H805GPFD,16,,Normal
-,,022MLMDMJ5602271,,,,,,,,,,2,H805GPFD,16,,Normal
-,,022MLMDMH3601300,,,,,,,,,,3,H805GPFD,16,,Normal
-,,022MLMCNG4003361,,,,,,,,,,4,H805GPFD,16,,Normal
-,,022MLMDMG7603759,,,,,,,,,,5,H805GPFD,16,,Normal
-,,022MLMDMH7603816,,,,,,,,,,6,H805GPFD,16,,Normal
-,,021VDE10J6001709,,,,,,,,,,7,H802SCUN,4,MA5600V800R018C00,Normal
-,,021VDE10J6002536,,,,,,,,,,8,H802SCUN,4,MA5600V800R018C00,Normal
-,,022MLMDMGB603032,,,,,,,,,,9,H805GPFD,16,,Normal
-,,022MLMDMJ6604947,,,,,,,,,,10,H805GPFD,16,,Normal
-,,022MLMDMJ1606848,,,,,,,,,,11,H805GPFD,16,,Normal
-,,022MLMDMJ3600172,,,,,,,,,,12,H805GPFD,16,,Normal
-,,022MLMDMK2603829,,,,,,,,,,13,H805GPFD,16,,Normal
-,,022MLMCNF8014520,,,,,,,,,,14,H805GPFD,16,,Normal
-,,022MLMDMG5602181,,,,,,,,,,15,H805GPFD,16,,Normal
-,,022MLMDMJ9609325,,,,,,,,,,16,H805GPFD,16,,Normal
-,,020KKPD0H5008601,,,,,,,,,,17,H801X2CS,2,,Normal
-,,020KKPD0H5008292,,,,,,,,,,18,H801X2CS,2,,Normal
4,9,210107505456,ULA-J-ANDRAUS-ZTE-01,45.176.204.17,Telnet,5333,"17 days, 13:19",45,"2022-04-24 13:47:54",Yes,2026-03-24,,,,,
-,,732977900008,,,,,,,,,,1,GMRA,6,1.2.1,Online
-,,,,,,,,,,,,3,GVGH,16,1.2.1,Online
-,,,,,,,,,,,,4,PUMD,,1.2.1,Online
-,,,,,,,,,,,,5,PUMD,,1.2.1,Online
-,,123456789012,,,,,,,,,,6,FUMO,,1.2.1,Online
5,10,210108542077,ULA-J-ANDRAUS-ZTE-02,45.176.204.17,Telnet,6333,"17 days, 13:20",45,"2022-04-24 17:10:47",Yes,2026-03-24,,,,,
-,,735353400078,,,,,,,,,,1,GMRA,6,1.2.1,Online
-,,,,,,,,,,,,3,GVGH,16,1.2.1,Online
-,,,,,,,,,,,,4,PUMD,,1.2.1,Online
-,,,,,,,,,,,,5,PUMD,,1.2.1,Online
-,,123456789012,,,,,,,,,,6,FUMO,,1.2.1,Online
6,11,210106441305,ULA-J-ANDRAUS-ZTE-03,45.176.204.17,Telnet,7333,"17 days, 13:19",47,"2022-04-24 17:59:00",Yes,2026-03-24,,,,,
-,,731058100081,,,,,,,,,,1,GMRA,6,1.2.2,Online
-,,,,,,,,,,,,3,GVGH,16,1.2.2,Online
-,,,,,,,,,,,,4,PUMD,,1.2.2,Online
-,,,,,,,,,,,,5,PUMD,,1.2.2,Online
-,,123456789012,,,,,,,,,,6,FUMO,,1.2.2,Online
7,12,210108542117,ULA-J-ANDRAUS-ZTE-04,45.176.204.17,Telnet,8333,"15 days, 01:07",46,"2022-04-24 12:20:41",Yes,2026-03-24,,,,,
-,,735686800012,,,,,,,,,,1,GMRA,6,1.2.1,Online
-,,,,,,,,,,,,3,GVGH,16,1.2.1,Online
-,,,,,,,,,,,,4,PUMD,,1.2.1,Online
-,,,,,,,,,,,,5,PUMD,,1.2.1,Online
-,,123456789012,,,,,,,,,,6,FUMO,,1.2.1,Online
8,21,029937D0F5000677,HUAWEI-01-JP,45.176.204.5,Telnet,2239,"455 days, 00:43",37,"2024-12-12 14:31:34",Yes,2026-07-13,,,,,
-,,021VDEDMF5606560,,,,,,,,,,9,H802SCUN,4,MA5600V800R018C00,Normal
-,,021VDEDMF5606396,,,,,,,,,,10,H802SCUN,4,MA5600V800R018C00,Normal
-,,022MLMDMH7610029,,,,,,,,,,11,H805GPFD,16,,Normal
-,,022MLMCNH4002946,,,,,,,,,,12,H805GPFD,16,,Normal
-,,024GDX10K3000853,,,,,,,,,,19,H802X2CS,2,,Normal
-,,024GDX10K3000853,,,,,,,,,,20,H802X2CS,2,,Normal
9,24,020ANHT0J4018621,ULA-HEBRON-01,45.176.204.17,Telnet,9793,"360 days, 00:09",30,"2026-01-22 14:24:29",Yes,2026-03-23,,,,,
-,,022MLMDMH6605566,,,,,,,,,,1,H805GPFD,16,,Normal
-,,025KFDDML8600432,,,,,,,,,,2,H806GPFD,16,,Normal
-,,022MLMCNFB016358,,,,,,,,,,3,H805GPFD,16,,Normal
-,,022MLMCNEC002514,,,,,,,,,,4,H805GPFD,16,,Normal
-,,022MLMCNH4002860,,,,,,,,,,5,H805GPFD,16,,Normal
-,,022MLMDMH6600303,,,,,,,,,,6,H805GPFD,16,,Normal
-,,021VDE10J6002794,,,,,,,,,,7,H802SCUN,4,MA5600V800R018C00,Normal
-,,021VDE10J6001652,,,,,,,,,,8,H802SCUN,4,MA5600V800R018C00,Normal
-,,,,,,,,,,,,9,H805GPFD,16,,Offline
-,,,,,,,,,,,,10,H805GPFD,16,,Offline
-,,020KKPD0H5003445,,,,,,,,,,17,H801X2CS,2,,Normal
-,,020KKPCNG4002114,,,,,,,,,,18,H801X2CS,2,,Normal
10,25,029937T0FB004156,OLT-HU-Shopping-Park,45.176.204.17,Telnet,9833,"254 days, 09:37",41,"2026-01-27 10:22:32",Yes,2026-03-26,,,,,
-,,022MLMDMH5609704,,,,,,,,,,1,H805GPFD,16,,Normal
-,,022MLMDMG7612302,,,,,,,,,,2,H805GPFD,16,,Normal
-,,,,,,,,,,,,3,H805GPFD,16,,Fault
-,,022MLMCNG1008972,,,,,,,,,,4,H805GPFD,16,,Normal
-,,025KFDDML4601242,,,,,,,,,,5,H806GPFD,16,,Normal
-,,022MLMCNF4014418,,,,,,,,,,6,H805GPFD,16,,Normal
-,,022MLMCNF8010542,,,,,,,,,,7,H805GPFD,16,,Normal
-,,021VDEDME8603400,,,,,,,,,,9,H802SCUN,4,MA5600V800R018C00,Normal
-,,021VDEDMF5606453,,,,,,,,,,10,H802SCUN,4,MA5600V800R018C00,Normal
-,,024GDXD0KA004326,,,,,,,,,,19,H802X2CS,2,,Normal
-,,024GDXD0KA006638,,,,,,,,,,20,H802X2CS,2,,Normal
